movie_title;id;recomended_movie_id_0;recomended_movie_id_1;recomended_movie_id_2;recomended_movie_id_3;recomended_movie_id_4;recomended_movie_title_0;recomended_movie_title_1;recomended_movie_title_2;recomended_movie_title_3;recomended_movie_title_4
The Postman题迨;493;37;224;234.0;517.0;1298.0;Transformers: Age of Extinction题迨;Prometheus题迨;Star Wars: Episode II - Attack of the Clones题迨;The Lost World: Jurassic Park题迨;Universal Soldier: The Return题迨
Babe: Pig in the City题迨;494;1995;2807;3319.0;4570.0;4795.0;Little White Lies题迨;The Sea Inside题迨;My Name Is Khan题迨;Heli题迨;Pierrot le Fou题迨
The Last Witch Hunter题迨;495;130;338;375.0;476.0;1294.0;Thor题迨;Lara Croft: Tomb Raider题迨;Lara Croft Tomb Raider: The Cradle of Life题迨;Mighty Joe Young题迨;Cirque du Freak: The Vampire's Assistant题迨
Red Planet题迨;496;123;281;429.0;1499.0;3435.0;X-Men Origins: Wolverine题迨;Minority Report题迨;The 6th Day题迨;The Maze Runner题迨;The Omega Code题迨
Arthur and the Invisibles题迨;497;239;299;1945.0;2359.0;3311.0;Asterix at the Olympic Games题迨;Where the Wild Things Are题迨;The Adventures of Pinocchio题迨;Spirited Away题迨;Shipwrecked题迨
Oceans题迨;498;2779;3423;3429.0;4363.0;4870.0;The Diving Bell and the Butterfly题迨;Alias Betty题迨;Persepolis题迨;Mississippi Mermaid题迨;The Case of the Grinning Cat题迨
A Sound of Thunder题迨;499;607;1299;2462.0;3093.0;4212.0;Doom题迨;Pandorum题迨;Wolves题迨;The Lawnmower Man题迨;Containment题迨
Pompeii题迨;500;272;316;500.0;816.0;4894.0;Kingdom of Heaven题迨;In the Heart of the Sea题迨;Pompeii题迨;Red Tails题迨;
Top Cat Begins题迨;501;1719;2228;2320.0;4033.0;4133.0;A Warrior's Tail题迨;Yu-Gi-Oh! Duel Monsters题迨            ;Steamboy题迨;Pok棠濠mon 3: The Movie题迨;Journey to Saturn题迨
A Beautiful Mind题迨;502;1347;2342;2632.0;3498.0;3679.0;White Squall题迨;Dances with Wolves题迨;The Great Debaters题迨;Hesher题迨;The Robe题迨
The Lion King题迨;503;1851;2318;4131.0;4413.0;4894.0;Flipper题迨;The Oogieloves in the Big Balloon Adventure题迨;The Black Stallion题迨;Snow White and the Seven Dwarfs题迨;
Journey 2: The Mysterious Island题迨;504;68;437;448.0;1871.0;1960.0;Monsters vs. Aliens题迨;Lilo & Stitch题迨;Robots题迨;Teenage Mutant Ninja Turtles II: The Secret of the Ooze题迨;The Powerpuff Girls题迨            
Cloudy with a Chance of Meatballs 2题迨;505;364;460;505.0;1331.0;3085.0;Atlantis: The Lost Empire题迨;Space Jam题迨;Cloudy with a Chance of Meatballs 2题迨;Spy Kids 2: Island of Lost Dreams题迨;Recess: School's Out题迨
Red Dragon题迨;506;506;1283;3875.0;3990.0;4894.0;Red Dragon题迨;The Impossible题迨;The Last Exorcism Part II题迨;Dawn Patrol题迨;
Hidalgo题迨;507;1709;3320;3602.0;3843.0;4894.0;DOA: Dead or Alive题迨;All Is Lost题迨;The Wild Bunch题迨;Falcon Rising题迨;
Jack and Jill题迨;508;421;1927;1941.0;2664.0;2823.0;Scooby-Doo题迨;Kingpin题迨;EuroTrip题迨;Freddy Got Fingered题迨;The New Guy题迨
2 Fast 2 Furious题迨;509;509;1391;1952.0;2338.0;3360.0;2 Fast 2 Furious题迨;Lethal Weapon 3题迨;Maximum Risk题迨;Survivor题迨;The Boondock Saints II: All Saints Day题迨
The Little Prince题迨;510;193;273;347.0;387.0;1803.0;Harry Potter and the Prisoner of Azkaban题迨;Stuart Little题迨;Percy Jackson & the Olympians: The Lightning Thief题迨;The Nutcracker in 3D题迨;The NeverEnding Story题迨
The Invasion题迨;511;519;1724;2902.0;3165.0;;Children of Men题迨;12 Monkeys题迨            ;WarGames题迨;Atlas Shrugged II: The Strike题迨;Dawn of the Crescent Moon题迨
The Adventures of Rocky & Bullwinkle题迨;512;189;554;580.0;583.0;1361.0;Puss in Boots题迨;Monkeybone题迨;The SpongeBob Movie: Sponge Out of Water题迨;Hook题迨;Nim's Island题迨
The Secret Life of Pets题迨;513;143;1458;2334.0;4894.0;4894.0;Flushed Away题迨;Valiant题迨;Zambezia题迨;;
The League of Extraordinary Gentlemen题迨;514;37;60;65.0;170.0;4031.0;Transformers: Age of Extinction题迨;2012题迨;X-Men: Apocalypse题迨;Captain America: The First Avenger题迨;Beneath the Planet of the Apes题迨
Despicable Me 2题迨;515;186;364;557.0;769.0;3728.0;Home题迨;Atlantis: The Lost Empire题迨;Minions题迨;Planet 51题迨;Digimon: The Movie题迨
Independence Day题迨;516;52;62;166.0;517.0;647.0;Pacific Rim题迨;Jupiter Ascending题迨;Hulk题迨;The Lost World: Jurassic Park题迨;The Matrix题迨
The Lost World: Jurassic Park题迨;517;40;84;246.0;1688.0;4153.0;TRON: Legacy题迨;The Lovers题迨;Fantastic Four题迨;Wing Commander题迨;Escape from the Planet of the Apes题迨
Madagascar题迨;518;488;718;954.0;1694.0;3129.0;Walking with Dinosaurs 3D题迨;Antz题迨;Curious George题迨;Hoodwinked Too! Hood vs. Evil题迨;Hey Arnold! The Movie题迨
Children of Men题迨;519;1765;3535;3757.0;4894.0;4894.0;Blade Runner题迨;The Andromeda Strain题迨;Atlas Shrugged: Who Is John Galt?题迨;;
X-Men题迨;520;44;103;516.0;1524.0;2439.0;Terminator Salvation题迨;The Hunger Games: Mockingjay - Part 2题迨;Independence Day题迨;Star Wars: Episode VI - Return of the Jedi题迨;Megaforce题迨
Wanted题迨;521;822;2499;3669.0;3974.0;;Ghost Rider: Spirit of Vengeance题迨;Evil Dead题迨;Saw II题迨;Sharknado题迨;The Lost Skeleton of Cadavra题迨
The Rock题迨;522;154;266;457.0;522.0;1581.0;Mission: Impossible - Ghost Protocol题迨;Live Free or Die Hard题迨;The Book of Eli题迨;The Rock题迨;The Hunt for Red October题迨
Ice Age: The Meltdown题迨;523;7;43;235.0;349.0;1735.0;Tangled题迨;Toy Story 3题迨;Monsters, Inc.题迨;Toy Story 2题迨;Aladdin题迨
50 First Dates题迨;524;420;771;1061.0;1612.0;2443.0;Nutty Professor II: The Klumps题迨;Intolerable Cruelty题迨;Liar Liar题迨;Bride Wars题迨;Anything Else题迨
Hairspray题迨;525;329;2822;2882.0;3474.0;4367.0;Sex and the City 2题迨;10 Things I Hate About You题迨;Lars and the Real Girl题迨;Outside Providence题迨;Waitress题迨
Exorcist: The Beginning题迨;526;459;1381;2394.0;3067.0;3444.0;The Haunting题迨;The Rite题迨;Prom Night题迨;Saw III题迨;Darkness Falls题迨
Inspector Gadget题迨;527;19;58;199.0;437.0;1384.0;Men in Black 3题迨;WALL题遽E题迨;Megamind题迨;Lilo & Stitch题迨;Space Chimps题迨
Now You See Me题迨;528;528;765;937.0;2059.0;4810.0;Now You See Me题迨;State of Play题迨;Inside Man题迨;In the Valley of Elah题迨;Some Guy Who Kills People题迨
Grown Ups题迨;529;2092;2194;3992.0;4149.0;4476.0;Jay and Silent Bob Strike Back题迨;Team America: World Police题迨;High Anxiety题迨;A Haunted House题迨;Cotton Comes to Harlem题迨
The Terminal题迨;530;563;1046;3996.0;4458.0;4705.0;Funny People题迨;The Cable Guy题迨;Choke题迨;But I'm a Cheerleader题迨;Lonesome Jim题迨
Constantine题迨            ;531;596;2383;2508.0;2825.0;;Wolf题迨;The Exorcism of Emily Rose题迨;Roar题迨;The Shallows题迨;The Ridges题迨
Hotel for Dogs题迨;532;838;1241;1763.0;2031.0;4894.0;Casper题迨;Ri题澧hie Ri题澧h题迨;Alexander and the Terrible, Horrible, No Good, Very Bad Day题迨;Meet the Deedles题迨;
Vertical Limit题迨;533;140;248;431.0;579.0;3087.0;Mission: Impossible III题迨;San Andreas题迨;The Expendables题迨;xXx题迨;Commando题迨
Charlie Wilson's War题迨;534;286;567;646.0;1858.0;4894.0;Public Enemies题迨;Braveheart题迨;Lincoln题迨;W.题迨;
Shark Tale题迨;535;334;569;626.0;718.0;2827.0;Finding Nemo题迨;The Simpsons Movie题迨;Despicable Me题迨;Antz题迨;Snow Day题迨
Dreamgirls题迨;536;3469;3471;3625.0;4862.0;4894.0;Get Low题迨;Beyond the Lights题迨;Song One题迨;The Business of Fancydancing题迨;
Life题迨            ;537;537;698;1308.0;1824.0;1937.0;Life题迨            ;The Hateful Eight题迨;Disturbia题迨;A Walk Among the Tombstones题迨;The Losers题迨
Be Cool题迨;538;1566;1795;2284.0;3215.0;4894.0;The Grand Budapest Hotel题迨;The Blues Brothers题迨;Connie and Carla题迨;The Janky Promoters题迨;
Munich题迨;539;506;2453;3168.0;3404.0;4383.0;Red Dragon题迨;I Come with the Rain题迨;Crash题迨;Swimming Pool题迨;Killing Zoe题迨
Tears of the Sun题迨;540;564;642;1912.0;1976.0;3989.0;The Kingdom题迨;Need for Speed题迨;Cradle 2 the Grave题迨;Stone Cold题迨;Wicked Blood题迨
Killers题迨;541;1095;1148;1879.0;2045.0;4703.0;Blended题迨;Along Came Polly题迨;No Strings Attached题迨;Someone Like You...题迨;Never Again题迨
The Man from U.N.C.L.E.题迨;542;1027;1126;1503.0;3242.0;4894.0;The Adventures of Ford Fairlane题迨;Johnny English Reborn题迨;Chill Factor题迨;It's a Mad, Mad, Mad, Mad World题迨;
Spanglish题迨;543;230;1931;3377.0;3851.0;3868.0;How Do You Know题迨;A Lot Like Love题迨;It's Kind of a Funny Story题迨;High School Musical题迨;The Front Page题迨
Monster House题迨;544;7;472;744.0;1735.0;1901.0;Tangled题迨;Hotel Transylvania 2题迨;ParaNorman题迨;Aladdin题迨;Rugrats Go Wild题迨
Bandits题迨;545;944;1951;2795.0;3364.0;3372.0;Crazy, Stupid, Love.题迨;The Girl Next Door题迨;Flipped题迨;The Inkwell题迨;Anomalisa题迨
First Knight题迨;546;361;656;810.0;979.0;4894.0;Die Hard with a Vengeance题迨;Space Cowboys题迨;Rambo III题迨;On Deadly Ground题迨;
Anna and the King题迨;547;3568;3726;3865.0;4060.0;4799.0;Duel in the Sun题迨;A Farewell to Arms题迨;Leaving Las Vegas题迨;Kama Sutra: A Tale of Love题迨;First Love, Last Rites题迨
Immortals题迨;548;280;1861;2585.0;3462.0;4894.0;Gladiator题迨;The Bodyguard题迨;Top Gun题迨;Buffy the Vampire Slayer题迨            ;
Hostage题迨;549;989;1060;1075.0;1405.0;3564.0;Murder by Numbers题迨;Courage Under Fire题迨;Prisoners题迨;L.A. Confidential题迨;The Usual Suspects题迨
Titan A.E.题迨;550;89;348;448.0;550.0;674.0;Big Hero 6题迨;Men in Black题迨;Robots题迨;Titan A.E.题迨;Zathura: A Space Adventure题迨
Hollywood Homicide题迨;551;256;1898;2021.0;2257.0;2762.0;The Green Hornet题迨;Money Talks题迨;Double Take题迨;The Man Who Knew Too Little题迨;All About the Benjamins题迨
Soldier题迨;552;2506;3381;3405.0;4894.0;4894.0;Shanghai Surprise题迨;The Wicked Lady题迨;Green Street 3: Never Back Down题迨;;
Carriers题迨;553;553;790;3105.0;4027.0;4894.0;Carriers题迨;Supernova题迨;The Dead Zone题迨;The Purge题迨;
Monkeybone题迨;554;43;91;107.0;442.0;1590.0;Toy Story 3题迨;The Polar Express题迨;Shrek the Third题迨;Alvin and the Chipmunks: Chipwrecked题迨;The SpongeBob SquarePants Movie题迨
Flight of the Phoenix题迨;555;431;555;853.0;2904.0;3087.0;The Expendables题迨;Flight of the Phoenix题迨;Executive Decision题迨;Act of Valor题迨;Commando题迨
Unbreakable题迨;556;371;511;599.0;1382.0;2297.0;Contact题迨;The Invasion题迨;The Abyss题迨;Gattaca题迨;A Scanner Darkly题迨
Minions题迨;557;151;199;1331.0;1352.0;2838.0;Men in Black II题迨;Megamind题迨;Spy Kids 2: Island of Lost Dreams题迨;City of Ember题迨;Earth to Echo题迨
Sucker Punch题迨;558;1;21;210.0;495.0;3722.0;Pirates of the Caribbean: At World's End题迨;The Amazing Spider-Man题迨;Clash of the Titans题迨;The Last Witch Hunter题迨;The Beastmaster题迨
Snake Eyes题迨;559;756;1178;1557.0;1632.0;2094.0;Shooter题迨;Double Jeopardy题迨;The Good German题迨;Sicario题迨;The Glass House题迨
Sphere题迨;560;941;1507;;;4894.0;Knowing题迨;The Astronaut's Wife题迨;All Superheroes Must Die题迨;Primer题迨;
The Angry Birds Movie题迨;561;147;260;644.0;2665.0;4421.0;Madagascar 3: Europe's Most Wanted题迨;Home on the Range题迨;Ice Age题迨;The Pirates Who Don't Do Anything: A VeggieTales Movie题迨;Batman: The Movie题迨
Fool's Gold题迨;562;356;907;1284.0;1895.0;3242.0;Charlie's Angels题迨;The Dukes of Hazzard题迨;Ishtar题迨;Nothing to Lose题迨;It's a Mad, Mad, Mad, Mad World题迨
Funny People题迨;563;2939;3422;3443.0;4071.0;4915.0;Young Adult题迨;Masked and Anonymous题迨;Magic Mike题迨;Happiness题迨;The Mighty题迨
The Kingdom题迨;564;634;849;1059.0;2653.0;3400.0;Body of Lies题迨;Kill Bill: Vol. 2题迨;Jonah Hex题迨;The Marine题迨;Swelter题迨
Talladega Nights: The Ballad of Ricky Bobby题迨;565;1257;3512;4334.0;4894.0;4894.0;A Million Ways to Die in the West题迨;Pale Rider题迨;Hang 'Em High题迨;;
Dr. Dolittle 2题迨;566;438;566;1758.0;2031.0;2073.0;Charlotte's Web题迨;Dr. Dolittle 2题迨;Hocus Pocus题迨;Meet the Deedles题迨;The Game Plan题迨
Braveheart题迨;567;1280;1746;1778.0;2080.0;3450.0;Marie Antoinette题迨;Miracle题迨;Kundun题迨;Son of God题迨;Good Night, and Good Luck.题迨
Jarhead题迨;568;1063;1437;1921.0;2316.0;2869.0;Inchon题迨;The Pianist题迨;Tora! Tora! Tora!题迨;The Children of Huang Shi题迨;Operation Chromite题迨
The Simpsons Movie题迨;569;334;518;856.0;1694.0;2691.0;Finding Nemo题迨;Madagascar题迨;Free Birds题迨;Hoodwinked Too! Hood vs. Evil题迨;Hoot题迨
The Majestic题迨;570;1367;3415;3544.0;4490.0;4684.0;Twilight题迨;Shopgirl题迨;The Messenger题迨;Casablanca题迨;Fireproof题迨
Driven题迨;571;901;1521;1706.0;2298.0;4893.0;Lucky You题迨;Goal! The Dream Begins题迨;Supercross题迨;Chasing Mavericks题迨;Heroes of Dirt题迨
Two Brothers题迨;572;501;861;2729.0;2803.0;3566.0;Top Cat Begins题迨;Paddington题迨;Khumba题迨;Seven Psychopaths题迨;Van Wilder: Party Liaison题迨
The Village题迨;573;573;786;4374.0;4894.0;4894.0;The Village题迨;Dragonfly题迨;Spellbound题迨;;
Doctor Dolittle题迨;574;532;946;1774.0;2031.0;2533.0;Hotel for Dogs题迨;Christmas with the Kranks题迨;A Simple Wish题迨;Meet the Deedles题迨;The Master of Disguise题迨
Signs题迨;575;117;371;919.0;1382.0;;I Am Legend题迨;Contact题迨;The Adjustment Bureau题迨;Gattaca题迨;Dawn of the Crescent Moon题迨
Shrek 2题迨;576;91;125;700.0;945.0;1721.0;The Polar Express题迨;Frozen题迨;Hop题迨;Garfield题迨;Sausage Party题迨
Cars题迨;577;577;1943;2611.0;2749.0;4894.0;Cars题迨;Unaccompanied Minors题迨;The Lizzie McGuire Movie题迨;Cool Runnings题迨;
Runaway Bride题迨;578;1040;1560;1610.0;4597.0;;Kate & Leopold题迨;Going the Distance题迨;Baby Mama题迨;And Then Came Love题迨;I Love You, Don't Touch Me!题迨
xXx题迨;579;154;389;522.0;579.0;4814.0;Mission: Impossible - Ghost Protocol题迨;Twister题迨;The Rock题迨;xXx题迨;Death Calls题迨
The SpongeBob Movie: Sponge Out of Water题迨;580;238;263;442.0;2496.0;2645.0;The Croods题迨;The Smurfs 2题迨;Alvin and the Chipmunks: Chipwrecked题迨;The Adventures of Elmo in Grouchland题迨;Ramona and Beezus题迨
Ransom题迨;581;1338;1682;1999.0;2469.0;3267.0;Enough题迨;Pride and Glory题迨;The Counselor题迨;City of Ghosts题迨;Boiler Room题迨
Inglourious Basterds题迨;582;456;629;648.0;800.0;816.0;Cold Mountain题迨;Agora题迨;Apollo 13题迨;Beyond Borders题迨;Red Tails题迨
Hook题迨;583;43;155;225.0;397.0;512.0;Toy Story 3题迨;Rise of the Guardians题迨;Stuart Little 2题迨;Enchanted题迨;The Adventures of Rocky & Bullwinkle题迨
Die Hard 2题迨;584;584;875;4310.0;4679.0;4894.0;Die Hard 2题迨;Turbulence题迨;The Marine 4: Moving Target题迨;The Maid's Room题迨;
S.W.A.T.题迨;585;1258;1477;1881.0;1939.0;2427.0;The Shadow题迨;Whiteout题迨;Romeo Must Die题迨;War题迨;Getaway题迨
Sleepy Hollow题迨            ;586;573;1380;2857.0;3585.0;4374.0;The Village题迨;Snow Falling on Cedars题迨;Chloe题迨;The Words题迨;Spellbound题迨
Vanilla Sky题迨;587;791;2301;2857.0;2984.0;3585.0;Winter's Tale题迨;Birth题迨;Chloe题迨;Cypher题迨;The Words题迨
Lady in the Water题迨;588;2385;3857;4449.0;4590.0;4591.0;Left Behind题迨;Survival of the Dead题迨;Saw题迨;Fear Clinic题迨;Zombie Hunter题迨
AVP: Alien vs. Predator题迨;589;589;783;1444.0;2775.0;4053.0;AVP: Alien vs. Predator题迨;Priest题迨;Predator 2题迨;Jason X题迨;Phantasm II题迨
Alvin and the Chipmunks: The Squeakquel题迨;590;238;365;616.0;700.0;918.0;The Croods题迨;Alvin and the Chipmunks: The Road Chip题迨;Osmosis Jones题迨;Hop题迨;Shrek题迨
We Were Soldiers题迨;591;111;344;897.0;2362.0;2365.0;Pearl Harbor题迨;The Alamo题迨;Flags of Our Fathers题迨;The Book Thief题迨;The Fall of the Roman Empire题迨
Olympus Has Fallen题迨;592;343;592;1457.0;4040.0;4191.0;A Good Day to Die Hard题迨;Olympus Has Fallen题迨;Abduction题迨;Torn Curtain题迨;The Calling题迨
Star Trek: Insurrection题迨;593;34;47;123.0;732.0;959.0;X-Men: The Last Stand题迨;X-Men: Days of Future Past题迨;X-Men Origins: Wolverine题迨;Deep Blue Sea题迨;I Am Number Four题迨
Battle Los Angeles题迨;594;44;69;80.0;246.0;514.0;Terminator Salvation题迨;Iron Man题迨;Iron Man 2题迨;Fantastic Four题迨;The League of Extraordinary Gentlemen题迨
Big Fish题迨;595;471;2412;3960.0;4166.0;4440.0;D棠濠j棠迨 Vu题迨;Love Happens题迨;The Ballad of Cable Hogue题迨;Marilyn Hotchkiss' Ballroom Dancing and Charm School题迨;The Lost Weekend题迨
Wolf题迨;596;596;794;2054.0;2538.0;;Wolf题迨;Dark Water题迨;Jaws: The Revenge题迨;The Roommate题迨;The Night Visitor题迨
War Horse题迨;597;597;908;1968.0;3077.0;4090.0;War Horse题迨;The Thin Red Line题迨;Gettysburg题迨;The Longest Day题迨;Fort McCoy题迨
The Monuments Men题迨;598;258;464;601.0;965.0;4894.0;300: Rise of an Empire题迨;Fury题迨;Dracula Untold题迨;G.I. Jane题迨;
The Abyss题迨;599;371;560;575.0;1223.0;3481.0;Contact题迨;Sphere题迨;Signs题迨;The Prestige题迨;Dark Angel题迨            
Wall Street: Money Never Sleeps题迨;600;600;2428;2674.0;3907.0;4830.0;Wall Street: Money Never Sleeps题迨;The Ice Storm题迨;De-Lovely题迨;Joe题迨;On the Outs题迨
Dracula Untold题迨;601;240;366;701.0;4894.0;4894.0;Windtalkers题迨;Valkyrie题迨;300题迨;;
The Siege题迨;602;3;602;2468.0;4724.0;4894.0;The Dark Knight Rises题迨;The Siege题迨;The Prince题迨;Insomnia Manica题迨;
Stardust题迨;603;193;603;1945.0;2035.0;3382.0;Harry Potter and the Prisoner of Azkaban题迨;Stardust题迨;The Adventures of Pinocchio题迨;Howl's Moving Castle题迨;The Secret of Kells题迨
Seven Years in Tibet题迨;604;113;194;1781.0;2219.0;4894.0;Alexander题迨;Australia题迨;Captain Alatriste: The Spanish Musketeer题迨;Quigley Down Under题迨;
The Dilemma题迨;605;605;1245;1601.0;3260.0;3275.0;The Dilemma题迨;The Guilt Trip题迨;About Schmidt题迨;The Best Man题迨;Igby Goes Down题迨
Bad Company题迨;606;346;542;705.0;735.0;1892.0;Cutthroat Island题迨;The Man from U.N.C.L.E.题迨;Wild Hogs题迨;Kangaroo Jack题迨;Agent Cody Banks题迨
Doom题迨;607;1469;2215;3337.0;3663.0;4894.0;Bait题迨;Daybreakers题迨;28 Days Later...题迨;Grabbers题迨;
I Spy题迨;608;409;465;653.0;1681.0;1895.0;The Rundown题迨;Six Days Seven Nights题迨;The Mask of Zorro题迨;Howard the Duck题迨;Nothing to Lose题迨
Underworld: Awakening题迨;609;1219;3054;3857.0;3931.0;4556.0;Spawn题迨;Darkness题迨;Survival of the Dead题迨;The Veil题迨;The House of the Devil题迨
Rock of Ages题迨;610;811;1089;2379.0;2574.0;4530.0;Leatherheads题迨;Tin Cup题迨;Big题迨;Juwanna Mann题迨;The Broken Hearts Club: A Romantic Comedy题迨
Hart's War题迨;611;591;805;1968.0;1969.0;2303.0;We Were Soldiers题迨;American Sniper题迨;Gettysburg题迨;Stop-Loss题迨;Passchendaele题迨
Killer Elite题迨;612;2480;2565;2663.0;3855.0;4480.0;Smokin' Aces题迨;Trance题迨;A Most Wanted Man题迨;The Crying Game题迨;Dead Man's Shoes题迨
Rollerball题迨;613;1231;1662;3015.0;3882.0;4051.0;The Lake House题迨;One True Thing题迨;Cruel Intentions题迨;The Misfits题迨;Before Midnight题迨
Ballistic: Ecks vs. Sever题迨;614;228;2100;4115.0;4894.0;4894.0;RoboCop题迨;RoboCop 3题迨;Close Range题迨;;
Hard Rain题迨;615;615;1119;1215.0;2034.0;3259.0;Hard Rain题迨;Miracle at St. Anna题迨;Behind Enemy Lines题迨;Faster题迨;Set It Off题迨
Osmosis Jones题迨;616;225;397;576.0;616.0;784.0;Stuart Little 2题迨;Enchanted题迨;Shrek 2题迨;Osmosis Jones题迨;Sinbad: Legend of the Seven Seas题迨
Legends of Oz: Dorothy's Return题迨;617;61;503;712.0;1851.0;4126.0;A Christmas Carol题迨;The Lion King题迨;The Prince of Egypt题迨;Flipper题迨;The Wizard of Oz题迨
Blackhat题迨;618;710;2289;2449.0;4287.0;4894.0;The General's Daughter题迨;Perception题迨            ;The Salton Sea题迨;Nine Dead题迨;
Sky Captain and the World of Tomorrow题迨;619;167;1025;1690.0;2101.0;4894.0;G.I. Joe: Retaliation题迨;The One题迨;Dragonball: Evolution题迨;Megiddo: The Omega Code 2题迨;
Basic Instinct 2题迨;620;949;1117;2269.0;2459.0;4225.0;Non-Stop题迨;The Ghost Writer题迨;Let Me In题迨;Red Lights题迨;Silent House题迨
Escape Plan题迨;621;45;1281;2427.0;2888.0;3452.0;Furious 7题迨;Kiss of Death题迨;Getaway题迨;Machete题迨;Desperado题迨
The Legend of Hercules题迨;622;305;337;1485.0;2433.0;4894.0;Batman Forever题迨;Seventh Son题迨;Warriors of Virtue题迨;Dragonslayer题迨;
The Sum of All Fears题迨;623;951;964;1703.0;2058.0;4482.0;V for Vendetta题迨;Absolute Power题迨;Dead Man Down题迨;Harley Davidson and the Marlboro Man题迨;From a Whisper to a Scream题迨
The Twilight Saga: Eclipse题迨;624;332;570;1012.0;4051.0;4702.0;Cinderella题迨;The Majestic题迨;The Scarlet Letter题迨;Before Midnight题迨;Hurricane Streets题迨
The Score题迨;625;451;1739;1873.0;2208.0;2878.0;Road to Perdition题迨;Along Came a Spider题迨;No Country for Old Men题迨;Eye for an Eye题迨;The Killer Inside Me题迨
Despicable Me题迨;626;138;147;400.0;535.0;954.0;Kung Fu Panda 2题迨;Madagascar 3: Europe's Most Wanted题迨;102 Dalmatians题迨;Shark Tale题迨;Curious George题迨
Money Train题迨;627;627;730;2248.0;3718.0;4482.0;Money Train题迨;Ladder 49题迨;Paparazzi题迨;Lone Wolf McQuade题迨;From a Whisper to a Scream题迨
Ted 2题迨;628;565;1152;3512.0;3586.0;4728.0;Talladega Nights: The Ballad of Ricky Bobby题迨;Here Comes the Boom题迨;Pale Rider题迨;Casa de mi Padre题迨;America Is Still the Place题迨
Agora题迨;629;22;316;500.0;2498.0;4633.0;Robin Hood题迨;In the Heart of the Sea题迨;Pompeii题迨;55 Days at Peking题迨;Saints and Soldiers题迨
Mystery Men题迨;630;2800;3158;4618.0;4833.0;4894.0;Hot Tub Time Machine 2题迨;Heartbeeps题迨;American Hero题迨;The Sticky Fingers of Time题迨;
Hall Pass题迨;631;702;1614;1822.0;2495.0;3363.0;Meet the Fockers题迨;13 Going on 30题迨;The 40-Year-Old Virgin题迨;Larry the Cable Guy: Health Inspector题迨;Easy A题迨
The Insider题迨;632;632;836;1013.0;4894.0;4894.0;The Insider题迨;Captain Phillips题迨;Fair Game题迨;;
The Finest Hours题迨;633;141;1482;1808.0;2212.0;3170.0;White House Down题迨;Punisher: War Zone题迨;The Newton Boys题迨;Street Kings题迨;Malone题迨
Body of Lies题迨;634;691;714;1376.0;1839.0;3479.0;Clear and Present Danger题迨;2 Guns题迨;Reindeer Games题迨;Silverado题迨;Nikita题迨            
Dinner for Schmucks题迨;635;1902;2603;2852.0;3460.0;3839.0;Undercover Brother题迨;Beetlejuice题迨;21 & Over题迨;Flirting with Disaster题迨;R.L. Stine's Monsterville: The Cabinet of Souls题迨
Abraham Lincoln: Vampire Hunter题迨;636;1777;2044;3022.0;4125.0;4646.0;Pride and Prejudice and Zombies题迨;Pitch Black题迨;Invaders from Mars题迨;Friday the 13th Part VII: The New Blood题迨;All the Boys Love Mandy Lane题迨
Entrapment题迨;637;45;100;585.0;1281.0;1881.0;Furious 7题迨;The Fast and the Furious题迨;S.W.A.T.题迨;Kiss of Death题迨;Romeo Must Die题迨
Last Man Standing题迨            ;638;1923;2168;2474.0;3128.0;4086.0;The Sitter题迨;Bad Moms题迨;Let's Be Cops题迨;The Goods: Live Hard, Sell Hard题迨;Tim and Eric's Billion Dollar Movie题迨
The X Files题迨;639;511;556;2826.0;4758.0;4901.0;The Invasion题迨;Unbreakable题迨;The Butterfly Effect题迨;Heroes题迨            ;Sound of My Voice题迨
The Last Legion题迨;640;1622;2000;2560.0;3256.0;3445.0;A View to a Kill题迨;Ironclad题迨;Highlander题迨;Thunderball题迨;Live and Let Die题迨
Saving Private Ryan题迨;641;366;464;598.0;4894.0;4894.0;Valkyrie题迨;Fury题迨;The Monuments Men题迨;;
Need for Speed题迨;642;633;951;1974.0;1979.0;2612.0;The Finest Hours题迨;V for Vendetta题迨;Straw Dogs题迨;Underclassman题迨;Snitch题迨
What Women Want题迨;643;578;1130;1403.0;2763.0;3142.0;Runaway Bride题迨;The Bounty Hunter题迨;Guess Who题迨;Vampire in Brooklyn题迨;MacGruber题迨
Ice Age题迨;644;138;954;1285.0;2665.0;3695.0;Kung Fu Panda 2题迨;Curious George题迨;Fantastic Mr. Fox题迨;The Pirates Who Don't Do Anything: A VeggieTales Movie题迨;Doug's 1st Movie题迨
Dreamcatcher题迨;645;645;2916;3687.0;3772.0;4634.0;Dreamcatcher题迨;Quarantine题迨;The Lazarus Effect题迨;Area 51题迨;Vessel题迨
Lincoln题迨;646;567;1687;1778.0;1880.0;3961.0;Braveheart题迨;The New World题迨;Kundun题迨;Tombstone题迨;In Cold Blood题迨
The Matrix题迨;647;65;102;520.0;594.0;3000.0;X-Men: Apocalypse题迨;X-Men: First Class题迨;X-Men题迨;Battle Los Angeles题迨;Star Wars: Episode IV - A New Hope题迨
Apollo 13题迨;648;22;456;800.0;3161.0;4894.0;Robin Hood题迨;Cold Mountain题迨;Beyond Borders题迨;Rescue Dawn题迨;
The Santa Clause 2题迨;649;450;574;1821.0;1893.0;2031.0;Bedtime Stories题迨;Doctor Dolittle题迨;Freaky Friday题迨;Nanny McPhee题迨;Meet the Deedles题迨
